timestamp,price_eur_mwh
2026-03-17T10:00:00Z,100.65
2026-03-17T11:00:00Z,95.23
2026-03-17T12:00:00Z,96.77
2026-03-17T13:00:00Z,99.33
2026-03-17T14:00:00Z,112.11
2026-03-17T15:00:00Z,131.78
2026-03-17T16:00:00Z,162.2
2026-03-17T17:00:00Z,207.3
2026-03-17T18:00:00Z,170.38
2026-03-17T19:00:00Z,144.24
2026-03-17T20:00:00Z,129.79
2026-03-17T21:00:00Z,114.24
2026-03-17T22:00:00Z,100.46
2026-03-17T23:00:00Z,89.8
2026-03-18T00:00:00Z,86.73
2026-03-18T01:00:00Z,85.69
2026-03-18T02:00:00Z,86.87
2026-03-18T03:00:00Z,88.84
2026-03-18T04:00:00Z,100.06
2026-03-18T05:00:00Z,130.74
2026-03-18T06:00:00Z,133.59
2026-03-18T07:00:00Z,99.94
2026-03-18T08:00:00Z,62.95
2026-03-18T09:00:00Z,10.0
2026-03-18T10:00:00Z,-1.62
2026-03-18T11:00:00Z,-2.31
2026-03-18T12:00:00Z,-2.71
2026-03-18T13:00:00Z,0.22
2026-03-18T14:00:00Z,47.19
2026-03-18T15:00:00Z,107.03
2026-03-18T16:00:00Z,145.21
2026-03-18T17:00:00Z,177.62
2026-03-18T18:00:00Z,170.2
2026-03-18T19:00:00Z,148.49
2026-03-18T20:00:00Z,132.06
2026-03-18T21:00:00Z,123.78
2026-03-18T22:00:00Z,113.38
2026-03-18T23:00:00Z,109.25
2026-03-19T00:00:00Z,112.64
2026-03-19T01:00:00Z,113.99
2026-03-19T02:00:00Z,115.53
2026-03-19T03:00:00Z,123.28
2026-03-19T04:00:00Z,132.78
2026-03-19T05:00:00Z,160.13
2026-03-19T06:00:00Z,158.24
2026-03-19T07:00:00Z,138.6
2026-03-19T08:00:00Z,90.9
2026-03-19T09:00:00Z,55.3
2026-03-19T10:00:00Z,7.87
2026-03-19T11:00:00Z,0.0
2026-03-19T12:00:00Z,2.53
2026-03-19T13:00:00Z,43.72
2026-03-19T14:00:00Z,85.95
2026-03-19T15:00:00Z,120.35
2026-03-19T16:00:00Z,152.18
2026-03-19T17:00:00Z,209.27
2026-03-19T18:00:00Z,214.38
2026-03-19T19:00:00Z,163.37
2026-03-19T20:00:00Z,149.04
2026-03-19T21:00:00Z,139.55
2026-03-19T22:00:00Z,132.24
2026-03-19T23:00:00Z,143.56
2026-03-20T00:00:00Z,137.96
2026-03-20T01:00:00Z,135.64
2026-03-20T02:00:00Z,137.48
2026-03-20T03:00:00Z,138.91
2026-03-20T04:00:00Z,154.59
2026-03-20T05:00:00Z,192.3
2026-03-20T06:00:00Z,197.64
2026-03-20T07:00:00Z,161.3
2026-03-20T08:00:00Z,132.01
2026-03-20T09:00:00Z,101.09
2026-03-20T10:00:00Z,78.47
2026-03-20T11:00:00Z,65.61
2026-03-20T12:00:00Z,65.61
2026-03-20T13:00:00Z,87.4
2026-03-20T14:00:00Z,117.16
2026-03-20T15:00:00Z,144.68
2026-03-20T16:00:00Z,174.82
2026-03-20T17:00:00Z,211.01
2026-03-20T18:00:00Z,212.31
2026-03-20T19:00:00Z,180.03
2026-03-20T20:00:00Z,163.05
2026-03-20T21:00:00Z,151.85
2026-03-20T22:00:00Z,148.13
2026-03-20T23:00:00Z,142.4
2026-03-21T00:00:00Z,138.34
2026-03-21T01:00:00Z,136.09
2026-03-21T02:00:00Z,132.06
2026-03-21T03:00:00Z,131.19
2026-03-21T04:00:00Z,137.67
2026-03-21T05:00:00Z,142.34
2026-03-21T06:00:00Z,139.66
2026-03-21T07:00:00Z,127.27
2026-03-21T08:00:00Z,100.58
2026-03-21T09:00:00Z,76.47
2026-03-21T10:00:00Z,45.9
2026-03-21T11:00:00Z,23.49
2026-03-21T12:00:00Z,24.27
2026-03-21T13:00:00Z,62.93
2026-03-21T14:00:00Z,90.0
2026-03-21T15:00:00Z,115.67
2026-03-21T16:00:00Z,146.03
2026-03-21T17:00:00Z,171.62
2026-03-21T18:00:00Z,163.11
2026-03-21T19:00:00Z,141.83
2026-03-21T20:00:00Z,126.88
2026-03-21T21:00:00Z,120.24
2026-03-21T22:00:00Z,108.0
2026-03-21T23:00:00Z,100.41
2026-03-22T00:00:00Z,95.76
2026-03-22T01:00:00Z,94.2
2026-03-22T02:00:00Z,95.26
2026-03-22T03:00:00Z,98.6
2026-03-22T04:00:00Z,101.66
2026-03-22T05:00:00Z,100.11
